id,name,description,category,image,price,size
m-tops-001,着回し力抜群！シンプルデザインのホワイト長袖シャツ,どんなスタイルにも合わせやすい、シンプルなデザインのホワイト長袖シャツ。\n上質な素材を使用し、快適な着心地を実現しました。\nビジネスシーンはもちろん、カジュアルなコーディネートにもおすすめです。,メンズ > トップス,https://next-apparel.com/images/m-tops-001.png,8800,"S, M, L"
m-tops-002,爽やかリネンシャツ,清涼感のあるリネン素材で仕立てた、快適な着心地のシャツ。\nカジュアルにもキレイめにも合わせやすく、幅広いシーンで活躍します。\n通気性が良く、暑い季節でもさらりと着用いただけます。,メンズ > トップス,https://next-apparel.com/images/m-tops-002.png,8800,"S, M, L"
m-tops-003,爽やかストライプTシャツ,シンプルながらも存在感のあるストライプ柄が目を惹くTシャツ。\nカジュアルなコーディネートにぴったりです。\n一枚で着るのはもちろん、ジャケットやカーディガンのインナーとしても活躍します。\n着心地の良いコットン素材で、デイリーユースに最適です。,メンズ > トップス,https://next-apparel.com/images/m-tops-003.png,8800,"S, M, L"
m-tops-004,着回し力抜群のシンプルTシャツ,どんなコーディネートにも合わせやすい、シンプルな無地のTシャツです。\nベーシックなクルーネックデザインで、幅広いスタイルにマッチします。\n柔らかな肌触りで快適な着心地です。,メンズ > トップス,https://next-apparel.com/images/m-tops-004.png,8800,"S, M, L"
m-tops-005,都会派ストリート Tシャツ,都会のストリートを歩く女性をイメージしたクールなデザインのTシャツです。モノトーン調のイラストが、スタイリッシュで洗練された印象を与えます。カジュアルなコーディネートにも、モードなスタイルにも合わせやすいアイテムです。,メンズ > トップス,https://next-apparel.com/images/m-tops-005.png,8800,"S, M, L"
m-bottoms-001,ヴィンテージ風ストレートデニム,美しいシルエットが魅力のストレートデニム。\nヴィンテージ加工を施した、こなれ感のある一本です。\nどんなトップスにも合わせやすく、着回し力抜群です。,メンズ > ボトムス,https://next-apparel.com/images/m-bottoms-001.png,12800,"S, M, L"
m-bottoms-002,ヴィンテージ風ダメージデニムパンツ,トレンドライクなヴィンテージ風ダメージ加工を施したデニムパンツ。\n程よい色落ちとダメージ感が、こなれ感を演出してくれます。\nカジュアルスタイルにはもちろん、Tシャツと合わせて大人カジュアルな着こなしもおすすめです。,メンズ > ボトムス,https://next-apparel.com/images/m-bottoms-002.png,15800,"S, M, L"
m-bottoms-003,大人の休日を彩る、上質チノパン,上質なコットン素材を使用した、大人の休日にぴったりのチノパン。\nどんなトップスにも合わせやすく、カジュアルながらも上品な印象を与えてくれます。,メンズ > ボトムス,https://next-apparel.com/images/m-bottoms-003.png,12800,"S, M, L"
m-bottoms-004,大人の風格漂う、快適ストレッチショートパンツ,軽くて動きやすい、快適な履き心地のショートパンツ。ストレッチ素材を使用しているので、アクティブなシーンにも最適です。シンプルながらも上品なデザインで、幅広いコーディネートに活躍します。,メンズ > ボトムス,https://next-apparel.com/images/m-bottoms-004.png,5800,"S, M, L"
m-bottoms-005,快適な穿き心地！定番グレーのスウェットパンツ,どんなスタイルにも合わせやすい、定番グレーのスウェットパンツ。\n柔らかな素材で快適な穿き心地です。\nルームウェアとしてはもちろん、ワンマイルウェアとしてもおすすめです。,メンズ > ボトムス,https://next-apparel.com/images/m-bottoms-005.png,5800,"S, M, L"
